case,activity,resource,timestamp,Org,Project,Task,Role
Case 6736,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/12/20 08:40:08.000,organizational unit 65468,project 147556,task 172628,BUDGET OWNER,
Case 6736,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/25 17:11:35.000,organizational unit 65468,project 147556,task 172628,SUPERVISOR,
Case 6736,Request Payment,SYSTEM,2019/01/08 09:27:27.000,organizational unit 65468,project 147556,task 172628,UNDEFINED,
Case 6736,Payment Handled,SYSTEM,2019/01/10 17:31:09.000,organizational unit 65468,project 147556,task 172628,UNDEFINED,
Case 1541,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/30 10:35:17.000,organizational unit 65454,project 147701,task 11657,EMPLOYEE,
Case 1541,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/30 10:35:24.000,organizational unit 65454,project 147701,task 11657,ADMINISTRATION,
Case 1541,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/05 12:12:15.000,organizational unit 65454,project 147701,task 11657,SUPERVISOR,
Case 1541,Request Payment,SYSTEM,2018/02/06 10:05:49.000,organizational unit 65454,project 147701,task 11657,UNDEFINED,
Case 1541,Payment Handled,SYSTEM,2018/02/08 17:31:11.000,organizational unit 65454,project 147701,task 11657,UNDEFINED,
Case 3334,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/05/28 09:06:46.000,organizational unit 65461,project 147620,task 170657,EMPLOYEE,
Case 3334,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/05/28 09:07:01.000,organizational unit 65461,project 147620,task 170657,ADMINISTRATION,
Case 3334,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/05/30 11:10:39.000,organizational unit 65461,project 147620,task 170657,EMPLOYEE,
Case 3334,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/05/30 12:00:26.000,organizational unit 65461,project 147620,task 170657,EMPLOYEE,
Case 3334,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/05/30 12:01:07.000,organizational unit 65461,project 147620,task 170657,ADMINISTRATION,
Case 3334,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/05/31 09:00:57.000,organizational unit 65461,project 147620,task 170657,BUDGET OWNER,
Case 3334,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/07 05:15:22.000,organizational unit 65461,project 147620,task 170657,SUPERVISOR,
Case 3334,Request Payment,SYSTEM,2018/06/07 11:04:15.000,organizational unit 65461,project 147620,task 170657,UNDEFINED,
Case 3334,Payment Handled,SYSTEM,2018/06/11 17:31:19.000,organizational unit 65461,project 147620,task 170657,UNDEFINED,
Case 4613,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/08/27 18:59:21.000,organizational unit 65458,project 147546,UNKNOWN,EMPLOYEE,
Case 4613,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/08/27 18:59:34.000,organizational unit 65458,project 147546,UNKNOWN,ADMINISTRATION,
Case 4613,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/08/28 10:41:36.000,organizational unit 65458,project 147546,UNKNOWN,SUPERVISOR,
Case 4613,Request Payment,SYSTEM,2018/08/29 08:43:38.000,organizational unit 65458,project 147546,UNKNOWN,UNDEFINED,
Case 4613,Payment Handled,SYSTEM,2018/09/03 17:31:14.000,organizational unit 65458,project 147546,UNKNOWN,UNDEFINED,
Case 2001,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/27 10:53:21.000,organizational unit 65454,project 147701,UNKNOWN,EMPLOYEE,
Case 2001,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/27 10:53:26.000,organizational unit 65454,project 147701,UNKNOWN,ADMINISTRATION,
Case 2001,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/02/27 12:48:43.000,organizational unit 65454,project 147701,UNKNOWN,BUDGET OWNER,
Case 2001,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/06 05:15:15.000,organizational unit 65454,project 147701,UNKNOWN,SUPERVISOR,
Case 2001,Request Payment,SYSTEM,2018/03/06 08:52:07.000,organizational unit 65454,project 147701,UNKNOWN,UNDEFINED,
Case 2001,Payment Handled,SYSTEM,2018/03/08 17:31:00.000,organizational unit 65454,project 147701,UNKNOWN,UNDEFINED,
Case 948,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/11/26 18:11:04.000,organizational unit 65458,project 147551,UNKNOWN,EMPLOYEE,
Case 948,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/11/26 18:11:14.000,organizational unit 65458,project 147551,UNKNOWN,SUPERVISOR,
Case 948,Request Payment,SYSTEM,2017/12/04 10:58:08.000,organizational unit 65458,project 147551,UNKNOWN,UNDEFINED,
Case 948,Payment Handled,SYSTEM,2017/12/07 17:31:19.000,organizational unit 65458,project 147551,UNKNOWN,UNDEFINED,
Case 2010,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/27 15:04:10.000,organizational unit 65454,project 149069,task 157407,EMPLOYEE,
Case 2010,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/27 15:05:49.000,organizational unit 65454,project 149069,task 157407,ADMINISTRATION,
Case 2010,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/28 09:20:27.000,organizational unit 65454,project 149069,task 157407,SUPERVISOR,
Case 2010,Request Payment,SYSTEM,2018/03/01 08:47:07.000,organizational unit 65454,project 149069,task 157407,UNDEFINED,
Case 2010,Payment Handled,SYSTEM,2018/03/05 17:30:58.000,organizational unit 65454,project 149069,task 157407,UNDEFINED,
Case 1814,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/16 09:07:47.000,organizational unit 65463,UNKNOWN,task 1420,EMPLOYEE,
Case 1814,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/02/16 09:07:52.000,organizational unit 65463,UNKNOWN,task 1420,ADMINISTRATION,
Case 1814,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/02/17 14:41:49.000,organizational unit 65463,UNKNOWN,task 1420,EMPLOYEE,
Case 3547,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/08 15:31:05.000,organizational unit 65469,project 147546,UNKNOWN,EMPLOYEE,
Case 3547,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/08 15:31:41.000,organizational unit 65469,project 147546,UNKNOWN,ADMINISTRATION,
Case 3547,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/08 15:42:22.000,organizational unit 65469,project 147546,UNKNOWN,SUPERVISOR,
Case 3547,Request Payment,SYSTEM,2018/06/19 11:41:43.000,organizational unit 65469,project 147546,UNKNOWN,UNDEFINED,
Case 3547,Payment Handled,SYSTEM,2018/06/21 17:31:09.000,organizational unit 65469,project 147546,UNKNOWN,UNDEFINED,
Case 2931,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/24 19:09:51.000,organizational unit 65461,UNKNOWN,UNKNOWN,EMPLOYEE,
Case 2931,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/04/24 19:10:20.000,organizational unit 65461,UNKNOWN,UNKNOWN,ADMINISTRATION,
Case 2931,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/04/26 09:58:57.000,organizational unit 65461,UNKNOWN,UNKNOWN,EMPLOYEE,
Case 6354,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/03 14:21:21.000,organizational unit 65477,project 149491,UNKNOWN,EMPLOYEE,
Case 6354,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/03 14:21:56.000,organizational unit 65477,project 149491,UNKNOWN,ADMINISTRATION,
Case 6354,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/06 09:20:48.000,organizational unit 65477,project 149491,UNKNOWN,SUPERVISOR,
Case 6354,Request Payment,SYSTEM,2018/12/10 09:30:21.000,organizational unit 65477,project 149491,UNKNOWN,UNDEFINED,
Case 6354,Payment Handled,SYSTEM,2018/12/13 17:31:08.000,organizational unit 65477,project 149491,UNKNOWN,UNDEFINED,
Case 5214,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/02 23:07:43.000,organizational unit 65458,project 147546,UNKNOWN,EMPLOYEE,
Case 5214,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/02 23:08:21.000,organizational unit 65458,project 147546,UNKNOWN,ADMINISTRATION,
Case 5214,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/10/03 15:18:04.000,organizational unit 65458,project 147546,UNKNOWN,BUDGET OWNER,
Case 5214,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/04 14:48:41.000,organizational unit 65458,project 147546,UNKNOWN,SUPERVISOR,
Case 5214,Request Payment,SYSTEM,2018/10/08 12:49:10.000,organizational unit 65458,project 147546,UNKNOWN,UNDEFINED,
Case 5214,Payment Handled,SYSTEM,2018/10/11 17:31:08.000,organizational unit 65458,project 147546,UNKNOWN,UNDEFINED,
Case 3608,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/12 15:42:55.000,organizational unit 65461,project 147556,UNKNOWN,EMPLOYEE,
Case 3608,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/12 15:49:30.000,organizational unit 65461,project 147556,UNKNOWN,ADMINISTRATION,
Case 3608,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/20 13:25:29.000,organizational unit 65461,project 147556,UNKNOWN,SUPERVISOR,
Case 3608,Request Payment,SYSTEM,2018/06/25 09:44:34.000,organizational unit 65461,project 147556,UNKNOWN,UNDEFINED,
Case 3608,Payment Handled,SYSTEM,2018/06/28 17:31:36.000,organizational unit 65461,project 147556,UNKNOWN,UNDEFINED,
Case 5273,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/05 13:11:43.000,organizational unit 65458,project 147546,task 3445,EMPLOYEE,
Case 5273,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/05 13:12:21.000,organizational unit 65458,project 147546,task 3445,ADMINISTRATION,
Case 5273,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/08 11:29:12.000,organizational unit 65458,project 147546,task 3445,SUPERVISOR,
Case 5273,Request Payment,SYSTEM,2018/10/09 08:53:36.000,organizational unit 65458,project 147546,task 3445,UNDEFINED,
Case 5273,Payment Handled,SYSTEM,2018/10/11 17:31:08.000,organizational unit 65458,project 147546,task 3445,UNDEFINED,
Case 1392,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/22 15:25:01.000,organizational unit 65462,project 147556,task 27581,EMPLOYEE,
Case 1392,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/22 15:25:10.000,organizational unit 65462,project 147556,task 27581,ADMINISTRATION,
Case 1392,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/01/22 16:15:12.000,organizational unit 65462,project 147556,task 27581,BUDGET OWNER,
Case 1392,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/24 17:22:35.000,organizational unit 65462,project 147556,task 27581,SUPERVISOR,
Case 1392,Request Payment,SYSTEM,2018/01/24 19:42:38.000,organizational unit 65462,project 147556,task 27581,UNDEFINED,
Case 1392,Payment Handled,SYSTEM,2018/01/29 17:31:11.000,organizational unit 65462,project 147556,task 27581,UNDEFINED,
Case 1324,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/18 11:55:26.000,organizational unit 65463,project 147546,UNKNOWN,EMPLOYEE,
Case 1324,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/18 11:55:34.000,organizational unit 65463,project 147546,UNKNOWN,ADMINISTRATION,
Case 1324,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/01/18 13:09:07.000,organizational unit 65463,project 147546,UNKNOWN,BUDGET OWNER,
Case 1324,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/23 09:45:19.000,organizational unit 65463,project 147546,UNKNOWN,SUPERVISOR,
Case 1324,Request Payment,SYSTEM,2018/01/23 10:29:47.000,organizational unit 65463,project 147546,UNKNOWN,UNDEFINED,
Case 1324,Payment Handled,SYSTEM,2018/01/25 17:31:09.000,organizational unit 65463,project 147546,UNKNOWN,UNDEFINED,
Case 5414,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/14 19:37:59.000,organizational unit 65465,project 151278,task 177746,EMPLOYEE,
Case 5414,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/14 19:39:44.000,organizational unit 65465,project 151278,task 177746,ADMINISTRATION,
Case 5414,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/16 10:21:29.000,organizational unit 65465,project 151278,task 177746,SUPERVISOR,
Case 5414,Request Payment,SYSTEM,2018/10/16 15:23:23.000,organizational unit 65465,project 151278,task 177746,UNDEFINED,
Case 5414,Payment Handled,SYSTEM,2018/10/18 17:31:18.000,organizational unit 65465,project 151278,task 177746,UNDEFINED,
Case 1182,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/10 08:43:04.000,organizational unit 65454,project 147556,UNKNOWN,EMPLOYEE,
Case 1182,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/10 08:43:20.000,organizational unit 65454,project 147556,UNKNOWN,ADMINISTRATION,
Case 1182,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/01/11 08:25:20.000,organizational unit 65454,project 147556,UNKNOWN,BUDGET OWNER,
Case 1182,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/18 05:15:14.000,organizational unit 65454,project 147556,UNKNOWN,SUPERVISOR,
Case 1182,Request Payment,SYSTEM,2018/01/31 10:53:17.000,organizational unit 65454,project 147556,UNKNOWN,UNDEFINED,
Case 1182,Payment Handled,SYSTEM,2018/02/01 17:31:18.000,organizational unit 65454,project 147556,UNKNOWN,UNDEFINED,
Case 1367,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/21 18:36:19.000,organizational unit 65461,project 147546,task 14763,EMPLOYEE,
Case 1367,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/21 18:37:36.000,organizational unit 65461,project 147546,task 14763,ADMINISTRATION,
Case 1367,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/23 16:28:51.000,organizational unit 65461,project 147546,task 14763,SUPERVISOR,
Case 1367,Request Payment,SYSTEM,2018/01/23 18:35:42.000,organizational unit 65461,project 147546,task 14763,UNDEFINED,
Case 1367,Payment Handled,SYSTEM,2018/01/25 17:31:09.000,organizational unit 65461,project 147546,task 14763,UNDEFINED,
Case 2633,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/05 14:04:43.000,organizational unit 65456,UNKNOWN,UNKNOWN,EMPLOYEE,
Case 2633,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/04/05 14:04:46.000,organizational unit 65456,UNKNOWN,UNKNOWN,ADMINISTRATION,
Case 2633,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/04/11 13:53:19.000,organizational unit 65456,UNKNOWN,UNKNOWN,EMPLOYEE,
Case 1173,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/09 14:04:51.000,organizational unit 65473,project 147546,UNKNOWN,EMPLOYEE,
Case 1173,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/09 14:04:58.000,organizational unit 65473,project 147546,UNKNOWN,ADMINISTRATION,
Case 1173,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/11 16:46:13.000,organizational unit 65473,project 147546,UNKNOWN,SUPERVISOR,
Case 1173,Request Payment,SYSTEM,2018/01/12 10:13:44.000,organizational unit 65473,project 147546,UNKNOWN,UNDEFINED,
Case 1173,Payment Handled,SYSTEM,2018/01/15 17:31:33.000,organizational unit 65473,project 147546,UNKNOWN,UNDEFINED,
Case 2004,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/27 12:11:16.000,organizational unit 65454,project 153324,UNKNOWN,EMPLOYEE,
Case 2004,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/27 12:13:06.000,organizational unit 65454,project 153324,UNKNOWN,ADMINISTRATION,
Case 2004,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/02/27 12:49:57.000,organizational unit 65454,project 153324,UNKNOWN,BUDGET OWNER,
Case 2004,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/05 17:33:02.000,organizational unit 65454,project 153324,UNKNOWN,SUPERVISOR,
Case 2004,Request Payment,SYSTEM,2018/03/06 08:08:09.000,organizational unit 65454,project 153324,UNKNOWN,UNDEFINED,
Case 2004,Payment Handled,SYSTEM,2018/03/08 17:31:00.000,organizational unit 65454,project 153324,UNKNOWN,UNDEFINED,
Case 221,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/04/10 09:32:17.000,organizational unit 65458,project 147546,UNKNOWN,EMPLOYEE,
Case 221,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/04/10 09:33:39.000,organizational unit 65458,project 147546,UNKNOWN,SUPERVISOR,
Case 221,Request Payment,SYSTEM,2017/04/11 12:38:13.000,organizational unit 65458,project 147546,UNKNOWN,UNDEFINED,
Case 221,Payment Handled,SYSTEM,2017/04/13 17:30:56.000,organizational unit 65458,project 147546,UNKNOWN,UNDEFINED,
Case 3801,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/25 12:08:30.000,organizational unit 65469,project 147843,task 164987,EMPLOYEE,
Case 3801,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/25 12:08:37.000,organizational unit 65469,project 147843,task 164987,ADMINISTRATION,
Case 3801,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/26 11:27:57.000,organizational unit 65469,project 147843,task 164987,SUPERVISOR,
Case 3801,Request Payment,SYSTEM,2018/07/03 12:01:23.000,organizational unit 65469,project 147843,task 164987,UNDEFINED,
Case 3801,Payment Handled,SYSTEM,2018/07/05 17:31:35.000,organizational unit 65469,project 147843,task 164987,UNDEFINED,
Case 6222,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/28 08:54:22.000,organizational unit 65465,project 147546,UNKNOWN,EMPLOYEE,
Case 6222,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/28 08:54:24.000,organizational unit 65465,project 147546,UNKNOWN,ADMINISTRATION,
Case 6222,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/11/28 09:58:25.000,organizational unit 65465,project 147546,UNKNOWN,BUDGET OWNER,
Case 6222,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/28 14:07:27.000,organizational unit 65465,project 147546,UNKNOWN,SUPERVISOR,
Case 6222,Request Payment,SYSTEM,2018/12/04 14:22:15.000,organizational unit 65465,project 147546,UNKNOWN,UNDEFINED,
Case 6222,Payment Handled,SYSTEM,2018/12/06 17:31:34.000,organizational unit 65465,project 147546,UNKNOWN,UNDEFINED,
Case 3427,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/01 13:37:49.000,organizational unit 65463,project 147531,task 155994,EMPLOYEE,
Case 3427,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/01 13:37:53.000,organizational unit 65463,project 147531,task 155994,ADMINISTRATION,
Case 3427,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/04 08:10:15.000,organizational unit 65463,project 147531,task 155994,SUPERVISOR,
Case 3427,Request Payment,SYSTEM,2018/06/05 07:36:38.000,organizational unit 65463,project 147531,task 155994,UNDEFINED,
Case 3427,Payment Handled,SYSTEM,2018/06/07 17:31:38.000,organizational unit 65463,project 147531,task 155994,UNDEFINED,
Case 624,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/09/06 15:23:39.000,organizational unit 65458,project 147546,task 150187,EMPLOYEE,
Case 624,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/09/06 15:23:42.000,organizational unit 65458,project 147546,task 150187,SUPERVISOR,
Case 624,Request Payment,SYSTEM,2017/09/07 13:49:35.000,organizational unit 65458,project 147546,task 150187,UNDEFINED,
Case 624,Payment Handled,SYSTEM,2017/09/11 17:31:09.000,organizational unit 65458,project 147546,task 150187,UNDEFINED,
Case 6202,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/27 12:15:00.000,organizational unit 65463,project 503,UNKNOWN,EMPLOYEE,
Case 6202,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/27 12:29:52.000,organizational unit 65463,project 503,UNKNOWN,ADMINISTRATION,
Case 6202,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/11/28 14:15:32.000,organizational unit 65463,project 503,UNKNOWN,BUDGET OWNER,
Case 6202,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/04 10:50:04.000,organizational unit 65463,project 503,UNKNOWN,SUPERVISOR,
Case 6202,Request Payment,SYSTEM,2018/12/04 11:13:28.000,organizational unit 65463,project 503,UNKNOWN,UNDEFINED,
Case 6202,Payment Handled,SYSTEM,2018/12/06 17:31:34.000,organizational unit 65463,project 503,UNKNOWN,UNDEFINED,
Case 1471,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/26 09:43:41.000,organizational unit 65458,project 503,UNKNOWN,EMPLOYEE,
Case 1471,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/26 09:43:53.000,organizational unit 65458,project 503,UNKNOWN,ADMINISTRATION,
Case 1471,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/01/26 12:15:03.000,organizational unit 65458,project 503,UNKNOWN,BUDGET OWNER,
Case 1471,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/02 05:15:37.000,organizational unit 65458,project 503,UNKNOWN,SUPERVISOR,
Case 1471,Request Payment,SYSTEM,2018/02/02 11:03:16.000,organizational unit 65458,project 503,UNKNOWN,UNDEFINED,
Case 1471,Payment Handled,SYSTEM,2018/02/05 17:31:03.000,organizational unit 65458,project 503,UNKNOWN,UNDEFINED,
Case 5904,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/08 23:16:19.000,organizational unit 65462,project 147582,UNKNOWN,EMPLOYEE,
Case 5904,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/11/08 23:16:44.000,organizational unit 65462,project 147582,UNKNOWN,ADMINISTRATION,
Case 5904,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/11/14 14:36:46.000,organizational unit 65462,project 147582,UNKNOWN,EMPLOYEE,
Case 5904,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/19 11:52:49.000,organizational unit 65462,project 147582,UNKNOWN,EMPLOYEE,
Case 5904,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/19 11:52:55.000,organizational unit 65462,project 147582,UNKNOWN,ADMINISTRATION,
Case 5904,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/11/20 10:23:56.000,organizational unit 65462,project 147582,UNKNOWN,BUDGET OWNER,
Case 5904,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/22 11:10:29.000,organizational unit 65462,project 147582,UNKNOWN,SUPERVISOR,
Case 5904,Request Payment,SYSTEM,2018/11/29 15:40:44.000,organizational unit 65462,project 147582,UNKNOWN,UNDEFINED,
Case 5904,Payment Handled,SYSTEM,2018/12/03 17:31:24.000,organizational unit 65462,project 147582,UNKNOWN,UNDEFINED,
Case 3727,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/20 08:48:30.000,organizational unit 65465,project 147546,task 7757,EMPLOYEE,
Case 3727,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/20 08:48:34.000,organizational unit 65465,project 147546,task 7757,ADMINISTRATION,
Case 3727,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/06/20 12:08:54.000,organizational unit 65465,project 147546,task 7757,BUDGET OWNER,
Case 3727,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/21 10:13:25.000,organizational unit 65465,project 147546,task 7757,SUPERVISOR,
Case 3727,Request Payment,SYSTEM,2018/06/26 09:30:03.000,organizational unit 65465,project 147546,task 7757,UNDEFINED,
Case 3727,Payment Handled,SYSTEM,2018/06/28 17:31:36.000,organizational unit 65465,project 147546,task 7757,UNDEFINED,
Case 768,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/10/08 23:43:00.000,organizational unit 65458,project 503,task 70647,EMPLOYEE,
Case 768,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/10/08 23:44:23.000,organizational unit 65458,project 503,task 70647,SUPERVISOR,
Case 768,Request Payment,SYSTEM,2017/10/09 14:07:11.000,organizational unit 65458,project 503,task 70647,UNDEFINED,
Case 768,Payment Handled,SYSTEM,2017/10/12 17:31:34.000,organizational unit 65458,project 503,task 70647,UNDEFINED,
Case 1606,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/01 14:11:11.000,organizational unit 65458,project 147843,UNKNOWN,EMPLOYEE,
Case 1606,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/01 14:11:14.000,organizational unit 65458,project 147843,UNKNOWN,ADMINISTRATION,
Case 1606,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/02/01 15:22:10.000,organizational unit 65458,project 147843,UNKNOWN,BUDGET OWNER,
Case 1606,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/01 16:13:38.000,organizational unit 65458,project 147843,UNKNOWN,SUPERVISOR,
Case 1606,Request Payment,SYSTEM,2018/02/01 16:28:15.000,organizational unit 65458,project 147843,UNKNOWN,UNDEFINED,
Case 1606,Payment Handled,SYSTEM,2018/02/05 17:31:03.000,organizational unit 65458,project 147843,UNKNOWN,UNDEFINED,
Case 2949,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/25 16:26:47.000,organizational unit 65457,project 147860,UNKNOWN,EMPLOYEE,
Case 2949,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/04/25 16:26:49.000,organizational unit 65457,project 147860,UNKNOWN,ADMINISTRATION,
Case 2949,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/26 08:33:18.000,organizational unit 65457,project 147860,UNKNOWN,SUPERVISOR,
Case 2949,Request Payment,SYSTEM,2018/05/03 12:42:25.000,organizational unit 65457,project 147860,UNKNOWN,UNDEFINED,
Case 2949,Payment Handled,SYSTEM,2018/05/07 17:31:15.000,organizational unit 65457,project 147860,UNKNOWN,UNDEFINED,
